dm_time,send_date,send_month,send_time,text,user_id
0 days 00:13:43.359000000,2021-01-10,2021-01,2021-01-10 15:53:15,哈哈哈哈哈,63f750d7
0 days 00:00:59.627000000,2021-01-10,2021-01,2021-01-10 15:53:05,垃圾公司带头无效加班,2feac67f
0 days 00:08:18.354000000,2021-01-10,2021-01,2021-01-10 15:53:05,公司的网络不安全，聊什么都能被溯源,40ba10bd
0 days 00:02:27.006000000,2021-01-10,2021-01,2021-01-10 15:52:50,高中老师，只放了3天呀,ddb9cff3
0 days 00:13:20.519000000,2021-01-10,2021-01,2021-01-10 15:52:46,听懂掌声,63f750d7
0 days 00:13:10.919000000,2021-01-10,2021-01,2021-01-10 15:52:28,传销啊？,63f750d7
0 days 00:10:21.056000000,2021-01-10,2021-01,2021-01-10 15:52:27,持续关注,375c87b6
0 days 00:01:36.384000000,2021-01-10,2021-01,2021-01-10 15:52:27,拒绝无偿加班，拒绝强制加班,d1bb8b6a
0 days 00:10:11.505000000,2021-01-10,2021-01,2021-01-10 15:52:17,持续,375c87b6
0 days 00:00:05.034000000,2021-01-10,2021-01,2021-01-10 15:52:11,支持！！！,5e00e2c3
0 days 00:12:56.199000000,2021-01-10,2021-01,2021-01-10 15:52:00,呵呵了,63f750d7
0 days 00:01:09.384000000,2021-01-10,2021-01,2021-01-10 15:52:00,开发太苦逼了，业务方逼死的,d1bb8b6a
0 days 00:00:21.560000000,2021-01-10,2021-01,2021-01-10 15:51:56,@官媒过来看看,2feac67f
0 days 00:00:46.694000000,2021-01-10,2021-01,2021-01-10 15:51:49,送你上热门，这种垃圾公司！,31721afe
0 days 00:13:03.035000000,2021-01-10,2021-01,2021-01-10 15:51:41,年轻啊兄弟 套话了被,613e012d
0 days 00:11:12.259000000,2021-01-10,2021-01,2021-01-10 15:51:20,我们公司就有仲裁的，欠薪乖乖就给了，之前各种忽悠不给。,dc4438d
0 days 00:01:35.720000000,2021-01-10,2021-01,2021-01-10 15:51:09,前面那个每周300的 是每月……一周总共都没300,266cff81
0 days 00:03:33.878000000,2021-01-10,2021-01,2021-01-10 15:51:09,没人性啊,21b9d22b
0 days 00:14:38.578000000,2021-01-10,2021-01,2021-01-10 15:51:07,离说这种话的领导远一点,b6019e1e
0 days 00:00:00.000000000,2021-01-10,2021-01,2021-01-10 15:51:05,勇士！,c52f55e3
0 days 00:03:19.798000000,2021-01-10,2021-01,2021-01-10 15:50:59,保护！！,21b9d22b
0 days 00:03:02.903000000,2021-01-10,2021-01,2021-01-10 15:50:46,？？？,21b9d22b
0 days 00:10:30.676000000,2021-01-10,2021-01,2021-01-10 15:50:46,加油,dc9287e7
0 days 00:00:12.755000000,2021-01-10,2021-01,2021-01-10 15:50:36,保护,efd5f56d
0 days 00:03:48.634000000,2021-01-10,2021-01,2021-01-10 15:50:35,还好没去,5ea54426
0 days 00:03:37.634000000,2021-01-10,2021-01,2021-01-10 15:50:24,垃圾公司,5ea54426
0 days 00:00:39.944000000,2021-01-10,2021-01,2021-01-10 15:50:00,充满希望，勇往直前,42e33492
0 days 00:03:04.633000000,2021-01-10,2021-01,2021-01-10 15:49:50,怀疑某教育公司的hr是拼多多过来的,5ea54426
0 days 00:03:28.531000000,2021-01-10,2021-01,2021-01-10 15:49:36,三连了，希望更多人看到,7b177a08
0 days 00:02:11.617000000,2021-01-10,2021-01,2021-01-10 15:49:35,太夸张了吧,21b9d22b
0 days 00:15:16.713000000,2021-01-10,2021-01,2021-01-10 15:49:25,卸载pdd,a364a759
0 days 00:01:44.311000000,2021-01-10,2021-01,2021-01-10 15:49:16,？？？380小时,21b9d22b
0 days 00:00:26.016000000,2021-01-10,2021-01,2021-01-10 15:49:09,支持,7e850ff5
0 days 00:03:58.629000000,2021-01-10,2021-01,2021-01-10 15:49:02,他们只在乎老板的钱,d8f6fafb
0 days 00:15:15.757000000,2021-01-10,2021-01,2021-01-10 15:48:39,加油,930cb0bb
0 days 00:00:23.168000000,2021-01-10,2021-01,2021-01-10 15:48:05,加油,230bf507
0 days 00:00:16.546000000,2021-01-10,2021-01,2021-01-10 15:47:54,保护,146c0267
0 days 00:00:05.983000000,2021-01-10,2021-01,2021-01-10 15:47:52,兄弟加油！,e88d4651
0 days 00:00:12.037000000,2021-01-10,2021-01,2021-01-10 15:47:50,保护,146c0267
0 days 00:00:06.301000000,2021-01-10,2021-01,2021-01-10 15:47:44,保护,146c0267
0 days 00:15:15.220000000,2021-01-10,2021-01,2021-01-10 15:47:43,垃圾拼多多 早日倒闭,4272471f
0 days 00:05:54.943000000,2021-01-10,2021-01,2021-01-10 15:47:41,连的公司wifi吗,be1fd95d
0 days 00:00:31.977000000,2021-01-10,2021-01,2021-01-10 15:47:30,支持,8af7ed6d
0 days 00:08:23.305000000,2021-01-10,2021-01,2021-01-10 15:46:57,公司可没这么大的权力 档案轮不到这种垃圾私企,b9aef849
0 days 00:14:40.575000000,2021-01-10,2021-01,2021-01-10 15:46:57,唉QAQ,4272471f
0 days 00:15:12.873000000,2021-01-10,2021-01,2021-01-10 15:46:54,加油,13c6812
0 days 00:00:06.795000000,2021-01-10,2021-01,2021-01-10 15:46:43,支持,f0e579e9
0 days 00:01:07.510000000,2021-01-10,2021-01,2021-01-10 15:46:11,抵制拼多多，,ff0e75cc
0 days 00:10:26.174000000,2021-01-10,2021-01,2021-01-10 15:46:02,干得漂亮,e0cc5de0
0 days 00:06:12.030000000,2021-01-10,2021-01,2021-01-10 15:45:59,你做得很对,dc9287e7
0 days 00:05:43.875000000,2021-01-10,2021-01,2021-01-10 15:45:32,垃圾公司 一生黑,790a35fa
0 days 00:00:30.555000000,2021-01-10,2021-01,2021-01-10 15:45:31,太可怕了...,6fa0c4ac
0 days 00:00:36.665000000,2021-01-10,2021-01,2021-01-10 15:45:30,加油,5572ffa9
0 days 00:13:20.020000000,2021-01-10,2021-01,2021-01-10 15:45:28,说得什么屁话,4272471f
0 days 00:10:46.958000000,2021-01-10,2021-01,2021-01-10 15:45:27,兄弟好勇敢！加油！,e0fe9245
0 days 00:13:58.164000000,2021-01-10,2021-01,2021-01-10 15:45:27,加油！,4add62d8
0 days 00:14:39.058000000,2021-01-10,2021-01,2021-01-10 15:45:16,给up点赞,b7a5113
0 days 00:15:06.618000000,2021-01-10,2021-01,2021-01-10 15:45:06,好好生活，PDD算个P,99851614
0 days 00:14:57.967000000,2021-01-10,2021-01,2021-01-10 15:45:00,气死我了，怎么会有这样的工司,450baf6e
0 days 00:14:23.598000000,2021-01-10,2021-01,2021-01-10 15:44:56,加油,b7a5113
0 days 00:00:07.916000000,2021-01-10,2021-01,2021-01-10 15:44:55,来了兄弟,3c2b2a62
0 days 00:12:54.676000000,2021-01-10,2021-01,2021-01-10 15:44:53,我吐了,4272471f
0 days 00:00:18.194000000,2021-01-10,2021-01,2021-01-10 15:44:51,刚刚送出了我人生中第一个一键三连,386d607b
0 days 00:15:07.167000000,2021-01-10,2021-01,2021-01-10 15:44:45,加油！,4697c7e3
0 days 00:01:21.833000000,2021-01-10,2021-01,2021-01-10 15:44:35,是每个月 这都能听错嘛……,a87d6b67
0 days 00:00:21.879000000,2021-01-10,2021-01,2021-01-10 15:44:31,垃圾拼多多,5ea54426
0 days 00:14:31.735000000,2021-01-10,2021-01,2021-01-10 15:44:31,注意个人安全，感觉PDD这些高管说话水平啥BB事都有可能干出来,99851614
0 days 00:00:12.879000000,2021-01-10,2021-01,2021-01-10 15:44:22,幸亏你走了,5ea54426
0 days 00:00:23.925000000,2021-01-10,2021-01,2021-01-10 15:43:45,支持你！！！,b67bba81
0 days 00:13:23.324000000,2021-01-10,2021-01,2021-01-10 15:43:22,你是勇士，感谢你站出来说,99851614
0 days 00:00:21.464000000,2021-01-10,2021-01,2021-01-10 15:43:17,真是有点夸张了,989bafcd
0 days 00:10:02.066000000,2021-01-10,2021-01,2021-01-10 15:43:13,勇士！,78e40fc5
0 days 00:04:54.358000000,2021-01-10,2021-01,2021-01-10 15:43:12,最聪明？,95416687
0 days 00:00:08.746000000,2021-01-10,2021-01,2021-01-10 15:42:46,顶顶,a8552756
0 days 00:10:27.363000000,2021-01-10,2021-01,2021-01-10 15:42:41,干它,74811f97
0 days 00:15:18.433000000,2021-01-10,2021-01,2021-01-10 15:42:34,加油！,680bec23
0 days 00:14:41.390000000,2021-01-10,2021-01,2021-01-10 15:42:31,加油 up主,b4e0363d
0 days 00:04:54.056000000,2021-01-10,2021-01,2021-01-10 15:42:30,拼多多是“青出于蓝”,7c20c459
0 days 00:14:17.311000000,2021-01-10,2021-01,2021-01-10 15:42:25,牛壁,bd256efd
0 days 00:14:15.491000000,2021-01-10,2021-01,2021-01-10 15:42:20,牛壁！,bd256efd
0 days 00:10:20.990000000,2021-01-10,2021-01,2021-01-10 15:42:14,加油！！！支持你！！！,4272471f
0 days 00:05:13.879000000,2021-01-10,2021-01,2021-01-10 15:42:12,合同违约是要给钱的，你指望刚毕业有钱交违约金？,797406f
0 days 00:10:22.016000000,2021-01-10,2021-01,2021-01-10 15:42:10,哈哈,3c3ee260
0 days 00:03:28.756000000,2021-01-10,2021-01,2021-01-10 15:42:07,前面的：PDD不是阿里系的啊。。。,a5085c36
0 days 00:00:59.322000000,2021-01-10,2021-01,2021-01-10 15:41:51,12月工时300的我挺你,879c74b5
0 days 00:11:14.120000000,2021-01-10,2021-01,2021-01-10 15:41:47,加油,b7a5113
0 days 00:01:26.932000000,2021-01-10,2021-01,2021-01-10 15:41:17,所以很好奇工资多少，既然加这么多,ee4f0b0a
0 days 00:08:58.104000000,2021-01-10,2021-01,2021-01-10 15:41:12,兄弟真汉子，不用怕他们,74811f97
0 days 00:09:21.214000000,2021-01-10,2021-01,2021-01-10 15:40:58,保护！,4add62d8
0 days 00:09:17.204000000,2021-01-10,2021-01,2021-01-10 15:40:55,顶，老哥,13c6812
0 days 00:08:51.508000000,2021-01-10,2021-01,2021-01-10 15:40:39,不能签,3c3ee260
0 days 00:02:15.215000000,2021-01-10,2021-01,2021-01-10 15:40:33,唉,20ad496c
0 days 00:08:41.051000000,2021-01-10,2021-01,2021-01-10 15:40:29,签了之后就上套了,3c3ee260
0 days 00:09:59.779000000,2021-01-10,2021-01,2021-01-10 15:40:28,卸载脉脉,b7a5113
0 days 00:08:32.222000000,2021-01-10,2021-01,2021-01-10 15:40:20,熟悉的套路,3c3ee260
0 days 00:08:45.332000000,2021-01-10,2021-01,2021-01-10 15:40:12,我也被公司这样威胁过…真的以为会进档案…其实我的档案根本不在那家公司,4272471f
0 days 00:10:46.924000000,2021-01-10,2021-01,2021-01-10 15:40:12,加油,70f554c4
0 days 00:00:11.835000000,2021-01-10,2021-01,2021-01-10 15:39:51,三连  保护,79a7b7b
0 days 00:02:45.647000000,2021-01-10,2021-01,2021-01-10 15:39:31,谁敢去PDD,5bb32bb0
0 days 00:15:15.511000000,2021-01-10,2021-01,2021-01-10 15:39:20,加油！！,3a845375
